STREETA,STREETB,DIRECTION,AM_PEAKVOL,PM_PEAKVOL,DATE
WATT AV,AUBURN BL,SB,2086,1943,06/21/1995
AUBURN BL,FRIENZA AV,NB,2083,486,11/02/1994
TRUXEL RD,NORTH OF I 80 WB RAMPS,SB,2082,2370,03/04/2015
EL CAMINO AV,ALBATROSS WY,EB/WB,2082,2709,06/12/2014
65TH ST,Q ST,NB/SB,2080,2182,07/14/1999
43RD AV,RIVERSIDE BL,EB/WB,2080,2269,09/21/1993
STOCKTON BL,MACK RD,NB/SB,2075,2659,11/08/1993
HOWE AV,AMERICAN RIVER DR,NB,2074,2603,11/16/1993
EXPOSITION BL,CHALLENGE WY,EB/WB,2073,2504,01/17/1996
NORTH 12TH ST,RICHARDS BL,SB,2072,1235,09/16/2009
ARDEN WY,EXPOSITION BL,SB,2070,2381,12/12/2002
SUTTERVILLE RD,SUTTERVILLE BP,EB/WB,2070,2612,08/17/2005
HOWE AV,RT 50,NB,2069,2135,10/25/2007
SUTTERVILLE RD,CUTTER WY,EB/WB,2066,1932,09/19/1995
HOWE AV,FOLSOM BL,SB,2062,2236,04/14/2011
Arden Way,approach to Heritage Lane,EB,2059,2337,10/02/2013
BRUCEVILLE RD,COSUMNES RIVER BL,NB,2058,1469,10/17/2017
ARDEN WY,POINT WEST WY,EB,2057,2196,10/03/2007
TRUXEL RD,GATEWAY PARK BL,NB,2057,3020,04/14/2011
SUTTERVILLE RD,22ND ST,EB/WB,2056,1931,11/16/1994
STOCKTON BL,EL PARAISO AV,NB/SB,2055,2320,11/17/2002
POWER INN RD,RT 50,NB,2054,2171,02/05/2003
TRUXEL RD,INTERSTATE 80,NB,2052,1993,02/08/2018
STOCKTON BL,EL PARAISO AV,NB/SB,2050,2444,11/21/2002
NORTHGATE BL,NORTH MARKET BL,NB/SB,2047,2177,01/05/2005
HOWE AV,FAIR OAKS BL,SB,2044,2337,02/03/1998
ARDEN WY,EVERGREEN ST,EB/WB,2044,3127,12/11/2003
WEST EL CAMINO AV,RT 5,WB,2041,1213,09/16/2008
HOWE AV,FAIR OAKS BL,SB,2041,2208,09/20/2017
POWER INN RD,FRUITRIDGE RD,NB/SB,2040,2044,07/08/1992
FLORIN RD,21ST ST,EB/WB,2038,2474,12/16/2003
COSUMNES RIVER BL,RT 99,WB,2034,1946,09/18/2008
J ST,5TH ST,EB,2033,1305,11/09/1992
HOWE AV,FAIR OAKS BL,NB,2031,2212,02/05/2003
24TH ST,47TH AV,NB/SB,2029,2231,12/11/2003
65TH ST,RT 50 EB OFF R,SB,2027,2694,09/18/2008
NORTH 12TH ST,N B ST,SB,2022,1091,09/09/2009
POWER INN RD,FRUITRIDGE RD,NB/SB,2022,2145,12/02/1993
COLLEGE TOWN DR,FAIRBAIRN,EB/WB,2022,2293,02/05/2003
SUTTERVILLE RD,WEST CURTIS DR,EB/WB,2020,2101,03/29/2005
SEARS DRWY,ARDEN WY,EB,2020,2407,09/20/2017
STOCKTON BL,EL PARAISO AV,NB/SB,2020,2481,11/18/2002
FRUITRIDGE RD,MARTIN LUTHER KING JR BL,EB/WB,2019,2287,09/15/1993
ARDEN WY,ETHAN WY,EB/WB,2019,2697,11/30/1999
43RD AV,RIVERSIDE BL,EB,2016,755,10/26/1992
J ST,3RD ST,EB,2014,1666,02/24/1998
65TH ST,Q ST,NB/SB,2014,2173,01/04/1994
STOCKTON BL,EL PARAISO AV,NB/SB,2014,2361,11/24/2002
BRDWAY,17TH ST,EB/WB,2011,989,04/11/2001
FREEPORT BL,13TH AV,NB/SB,2008,1206,10/05/2011
RIVERSIDE BL,43RD AV,EB/WB,2008,2305,08/01/1995
FRANKLIN BL,CASELLI CR,NB/SB,2008,2326,11/01/2007
J ST,5TH ST,EB,2006,1320,03/22/1993
FOLSOM BL,HORNET DR,EB/WB,2005,2139,09/13/2005
POWER INN RD,LEMON HILL AV,NB/SB,2002,2200,12/02/1993
FRANKLIN BL,21ST AV,NB/SB,2001,2547,08/31/1995
SOUTH WATT AV,FOLSOM BL,NB,2000,1687,02/10/2006
65TH ST,9TH AV,NB/SB,1998,2008,05/19/2011
EL CAMINO AV,PRINCETON ST,EB/WB,1997,2357,07/28/1993
POWER INN RD,RT 50,SB,1995,2174,03/15/2003
MACK RD,VALLEY HI DR,EB/WB,1995,2571,02/01/1994
STOCKTON BL,T ST,NB/SB,1994,1894,02/13/2020
MACK RD,CENTER PK,EB/WB,1994,2470,02/01/1994
3RD ST,J ST,EB,1990,1121,09/20/2017
J ST,7TH ST,EB,1988,1576,02/24/1998
TRUXEL RD,GATEWAY PARK BL,NB,1987,2421,03/04/2014
TRUXEL RD,GATEWAY PARK BL,NB/SB,1987,2421,03/04/2014
